system   I             system.c:245  al_install_system                [   0.00034] Allegro version: 5.1.12 (WIP)
display  D   display_settings.c:202  debug_display_settings           [   0.01451] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01454] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01455] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01456] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.01458] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01459] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.01462] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01464] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.01465] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01467] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.01468] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01470] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.01471] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01473] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.01474] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01476] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.01477] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01479] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01480] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01483] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01484] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01486] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.01487] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01489] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.01490] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01491] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.01493] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01494] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.01495] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01497] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.01498] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01500] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.01501] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01504] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.01505] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01507] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01509] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01511] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01512] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01514] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.01515] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01516] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.01518] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01519] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.01521] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01522] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.01523] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01527] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.01528] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01530] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.01531] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01532] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.01534] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01535] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01537] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01538] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01539] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01541] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.01542] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01544] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.01545] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01547] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.01548] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01550] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.01551] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01552] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.01554] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01555] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.01556] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01558] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.01559] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01561] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01563] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01565] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01566] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01568] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01569] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01571] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01572] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01574] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01580] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01583] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01584] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01586] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01587] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01589] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01590] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01592] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01593] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01595] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01597] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01599] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01600] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01602] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01603] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01604] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01606] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01607] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01609] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01610] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01612] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01613] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01615] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01616] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01617] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01619] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01620] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01622] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01623] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01625] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01626] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01628] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01629] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01631] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01632] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01634] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01635] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01637] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01638] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01640] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01641] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01643] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01644] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01645] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01647] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01648] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01650] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01651] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01653] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01654] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01656] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01657] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01658] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01660] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01662] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01664] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01665] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01667] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01668] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01670] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01672] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01674] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01679] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01681] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01683] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01685] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01686] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01688] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01689] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01691] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01692] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01694] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01695] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01697] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01698] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01699] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01701] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01702] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01704] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01705] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01707] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01708] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01710] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01711] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01712] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01714] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01715] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01717] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01718] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01722] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01723] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01725] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01726] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
